ref,value,datasheet,footprint,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
10k1,POT,http://copal-electronics.info/en/00011/0064d.pdf,~,http://copal-electronics.info/en/00011/0064d.pdf,0.77,http://www.digikey.com.au/product-search/en?vendor=0&keywords=CT6EP103-ND,,,,,,
C1,0.1uf,~,~,~,,,,,,,,
C2,10uf,~,~,~,,,,,,,,
IC1,ATTINY84A-SS,http://www.atmel.com/Images/doc8006.pdf,SO14,http://www.atmel.com/Images/doc8006.pdf,0.87,,,,,,,
P1,I2C,~,~,~,,,,,,,,
P2,ISCP,~,~,~,,,,,,,,
P3,A0,,,,,,,,,,,
P4,A1,,,,,,,,,,,
P5,A7,,,,,,,,,,,
P6,8,,,,,,,,,,,
P7,10,,,,,,,,,,,
P8,SERIAL QA,,,,,,,,,,,
P9,+5V,,,,,,,,,,,
P10,GND,,,,,,,,,,,
Q1,NPN,~,~,~,,,,,,,,
R1,1k,~,~,~,,,,,,,,
R2,220,~,~,~,,,,,,,,
SW1,Reset,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English,~,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English,0.1,http://www.digikey.com.au/product-detail/en/FSM4JH/450-1650-ND/1632536,,,,,,
U1,74HC595-16-PIN,http://www.nxp.com/documents/data_sheet/74HC_HCT595.pdf,so-16,http://www.nxp.com/documents/data_sheet/74HC_HCT595.pdf,0.04,,,,,,,
U2,HD44780,,,,,,,,,,,
